P31266 Q03963 Q60751 O35942 Q60855
Q9Z2D6 Q9QXB9 Q8BK63 Q8BU40 P51448
P60766 Q99MU3 P08414 A2AI05 P51450
Q9R1E0 Q9Z2R9 Q9CXV0 Q02780 Q6NTA4
P02340 P56931 Q9D2Z8 P97863 Q80X95
P00520 Q8R0K9 P68181 Q8R4B8 Q99K70
Q60611 Q61502 Q9DC28 Q8C6J9 A2A825
Q3UHJ0 Q58FA4 O35066 Q8CIZ9 Q6IMB1
Q61102 P00375 P28738 P70255 Q9WTM5
P50544 O35261 Q9WV04 P70257 O35488
B5X0E4 O54917 P05532 Q60641 Q91VE0
Q9JJ59 Q01279 Q62120 O88942 Q60714
Q61271 P39053 P05132 Q60591 P60122
Q8VHH7 Q61501 Q8BTH8 Q3UP24 Q9JHW4
Q4JIM5 Q6S7F2 Q8C4X2 Q8K120 Q8VDQ8
Q8K440 P10126 Q52KG5 Q99MA9 Q62231
Q61288 Q61527 Q9QWT9 P42582 Q61321
P31750 Q9EQY0 P31324 Q8BVE8 P70178
Q8BXK8 Q03145 Q04447 P97305 A2AKX3
P19091 Q61772 P28867 O54949 Q91ZW3
Q8BXL7 O09127 P68404 P29477 P42208
P84078 P54763 Q62101 Q3UV55 Q923E4
Q8CG76 Q8BHK9 Q8BZ03 Q64249 Q8R216
Q640N2 Q8CBF3 P0C605 Q2LKU9 Q9WVC6
P61208 P41163 O35071 Q91WS2 Q8R104
Q99PE9 Q8CHI8 Q61768 Q9Z0J4 Q8CG48
O54984 P70424 Q02111 Q60644 Q8CG46
P70704 P81270 P18654 P46460 Q9CW03
Q925I1 P15037 P06151 O88708 Q8CG47
P27040 P27577 B1AVY7 Q640Q5 Q924W5
O70126 P41164 P48025 Q8CGY8 P53783
Q61687 P16092 P06240 P41778 Q9QYY8
Q91YE5 O89106 Q6ZPI3 P17918 P17433
P79621 Q8K2I9 Q8CGK3 Q8CIN4 Q62232
P28028 P34152 P63006 Q61036 P48432
Q5RJI5 Q9QVP9 P25911 O88554 Q9CU62
O88700 P11276 Q5S006 Q8CEE6 Q8CI15
P36895 P16879 Q9WU40 Q3UA06 P53784
Q9Z1S0 P35583 P49717 P11103 Q811W0
P35991 Q64732 P97311 Q69Z38 P05480
Q69Z98 P58462 P08923 Q8CIW5 O70551
P49615 Q8BPY9 Q99MV5 P09041 O88697
P11440 P35582 Q9EQJ9 P06803 Q80TF6
Q8R3L8 P35584 Q8VHJ5 Q99LC9 Q9WTK7
Q99J95 Q9WVH4 Q9R1L5 Q07832 O55098
P30658 Q61080 P21440 Q60806 Q8CGC7
Q6A068 P16858 P49138 P70268 P99024
P27790 P06537 Q2KHI9 Q64702 Q14BI7
P40201 Q3V3I2 P14152 Q9JHG7 O70306
Q9Z265 Q8K349 P06795 Q99MQ3 O35144
P26361 P20612 Q60954 Q922R0 Q01853
O70496 O70443 P97367 O88685 Q9EPZ6
P97377 P36916 Q8BVN9 Q61136 Q8C0Y1
O35491 Q9DC51 Q63943 P54775 O35857
A2A8L1 Q6R0H7 Q8CIP4 P62196 P68372
Q91XQ5 P30678 P49718 Q8R4E6 Q9CWU0
Q9QUP4 P21278 P21447 Q64434 Q64163
P22518 P30677 Q3UMW7 P63011 O55047
Q9D5U8 P63094 Q9CWV1 O35295 Q08639
O35280 Q6PGG6 P97310 Q3TMX7 A2ASS6
Q9R194 P20029 P32442 Q9CQD1 Q01320
P41241 Q8R316 Q8CFN5 Q99N57 Q9ER41
P09581 P62806 Q9JI70 P15919 Q64511
Q60737 Q9QZR5 Q62504 P62492 Q8CGV9
P97784 P70349 Q9WTU6 P56371 Q68FE9
O70589 P30681 Q9WUI1 P63001 Q3UVR3
P56546 O54879 Q9Z1B7 E9Q9D5 Q80UG8
P53564 Q8R1H0 Q8BG51 O08674 A2APC3
O54833 P17095 P47811 Q08297 Q925K9
Q8VDF3 P42581 Q8CE90 Q61411 Q02053
Q91VR5 P17156 Q7TT50 P32883 Q3U3Q1
Q62167 P63017 Q9WUI0 Q8VEA8 Q80X41
Q61496 Q61696 P23249 P43352 Q8BN21
Q61655 P63158 Q9R1X5 Q62193 Q8VEJ9
Q9JJY4 P17879 Q91Y86 P08556 P46467
O70133 P16627 O08911 P35546 Q8VCS3
Q9ESV0 P09022 Q99MT2 P35601 P70121
Q810A7 Q91VC3 Q9R1S7 Q9WUK4 P43404
Q8BG36 Q60680 P13705 Q99J62 Q9R0G7
Q99J87 O88351 Q61006 P48377 Q8C0C0
P70397 Q62406 Q64331 P48379 Q6NZP1
Q61880 Q9R0T8 Q02566 Q8VEE4 E9PZI6
Q8BYH0 P81067 P09922 P48381 H3BKF3
Q9JHU4 P70671 Q8VDD5 Q9D0F6 E9QKG2
P70396 P15208 P97479 P62746
