Q96524 F4KF14 Q94KL5 P55826 Q9FLW0
P18064 Q9SAJ6 Q9FXG8 Q9C5U3 Q9ASS4
Q8S8P5 Q8VY13 Q6EVK6 Q9SZD4 O48788
Q9XFH4 Q9FY99 Q8S897 Q9SEI3 C0LGG8
Q43125 Q9SEE5 Q9SJJ3 O04019 Q0WR59
Q9S7C9 P25858 F4IVI0 Q9LTX3 Q9FMD7
Q9FFY9 Q1WIQ6 Q9FIM9 Q9SEI4 Q93Y06
Q9SUP6 P27900 Q9ZWC8 Q9MAK9 Q9LRP3
Q9SGY1 O49506 Q9ZPS9 Q9SL67 Q9M8T0
Q9FWX7 Q9SIV3 Q9LZF6 Q9SSB5 Q8VZG8
Q9C8H0 Q93VR3 P54609 Q94BQ2 Q9FM85
Q9C8J8 Q9LYU4 Q38870 Q8H1G6 Q9LVN2
Q9LHD1 Q9LRR9 Q6NLQ6 Q9SEI2 Q9SB61
Q8RWI9 Q9LRS0 P92948 Q9SY73 Q9ZPW7
Q9C9W0 Q9LSV0 Q06850 Q9SSB4 Q9LXG0
Q9M2V5 P93031 Q42438 Q9STF2 Q9FMY7
Q9LJX0 Q9XIP7 Q9ZSA4 B9DFG5 Q9FKP8
Q84M24 Q02283 Q9SCN8 Q9ZU40 Q9SVL0
Q9C8G9 Q94A76 P24100 Q9SSA8 Q9SEZ1
Q9LZ98 Q05466 O80345 Q96529 Q9LQW3
Q9MAG3 Q0WQG8 A8R7E6 P32746 O64722
Q84TH5 Q6STH5 Q9ZV56 Q9SMQ6 Q9FRL5
Q9FIB4 Q9ZVW2 O80842 Q9ZRE2 Q9FIW9
Q8GZ52 P46604 Q8RWC9 Q9CB01 Q9FKJ9
Q9ZUT8 B9DFX7 Q9XIW0 Q38902 Q9M9S0
Q7PC85 Q9SZC9 Q9LZW4 Q8H156 Q9LHF0
Q9LK64 O49596 Q94C40 Q9LUM4 Q949M9
Q9ZUU9 Q9LX66 Q94CG0 Q9LM15 B3H5S5
Q9M9E1 P93047 Q93VD3 O23657 Q9LPD0
Q9SW08 Q42344 Q84VQ3 P28188 Q9T074
Q9SYI3 Q9C9W5 F4JY24 P31582 Q9ZW35
Q9SIT6 P51818 Q0PCS3 O80501 Q9SNB4
Q8VZZ4 Q9LTT3 Q9SN43 Q8W3M3 Q9FE20
Q9STT5 O49597 P25859 Q9FJN8 Q9FNP1
Q9ZU35 O03986 P16127 Q9SIP0 Q8RY16
Q9FLX5 F4JFN3 Q9SIW2 P92963 Q9SSL9
