P04637 P17844 P14735 P23511 Q92963
P78363 Q53GQ0 Q92985 Q96PY6 Q9Y572
P27694 Q9Y394 O75874 P51955 P52198
Q9P2D1 Q8N5I4 P38919 Q13469 O75116
P13569 Q8IY37 O15111 Q9NPP4 P51449
Q16539 Q9C098 P06213 Q7RTR0 P61587
P10275 Q9BTZ2 P78415 Q12857 Q04912
O95477 Q08211 P55010 Q7RTR2 Q8WZA2
P54274 Q9UIK4 Q14164 Q9Y239 Q5VZM2
Q15554 O43237 Q13418 O95803 Q9NQL2
Q8WWZ7 Q8N8A6 Q00978 Q9HC98 Q92730
Q8IZY2 Q96C10 O14920 Q14934 Q13464
Q8WWZ4 Q9NZQ0 P20839 O00712 P35398
Q86UK0 P35659 Q9NWZ3 Q8N4C6 P08922
P33897 Q7Z5P4 Q08881 Q9C000 Q01974
P61221 P56937 O60674 Q86SG6 O95398
P00519 Q9BPW9 Q9ULG1 Q8TD19 Q9Y4G8
O00763 Q9NUU7 Q9Y3D8 Q12968 Q9HB90
Q2M2I8 Q9UMR2 P13861 Q14938 P10301
Q9NUT2 Q08345 Q9NYR9 P04629 Q7L523
Q9NRK6 Q9NR30 P48730 Q96RI1 P62070
Q09428 O00571 P49674 P78426 Q9BU20
P28288 Q9H0S4 P08069 Q9UBE8 Q9Y230
Q9UG63 Q9NQI0 P51617 P29475 O00442
Q5FVE4 Q9BQ39 P78368 P46459 P19793
Q8N139 P26196 Q9Y6M4 Q8TB37 Q5K4L6
O94911 P09417 Q6PHW0 Q5SY16 Q6T310
Q8IUA7 Q6UX07 Q9HCP0 P35228 Q96HN2
Q9UBJ2 Q7L2E3 P12532 O96028 Q9NR31
Q9UNQ0 Q9H2U1 P46013 P20393 Q9NZ71
Q9H172 Q9UPY3 P23458 Q9NTK5 Q9UBT2
Q9H222 Q9Y5R6 P52333 Q9Y5Y2 Q9Y3Z3
Q96GR2 Q8NBQ5 P17612 Q13415 Q9Y6B6
Q9BZC7 O43143 Q13557 Q9H244 Q9UPW6
O75027 O60231 Q9ULD8 O60285 Q9NVA2
O95342 P55265 O60341 O60313 Q9Y265
Q8NE71 O60479 Q9Y496 Q96RQ9 P57772
Q9NUB1 P49366 P33176 O15294 Q9UHD8
P01011 O43812 P31323 Q13177 Q9Y6X0
Q07912 Q8TE73 Q9NYS0 O75914 Q7Z333
Q9NR19 Q9C0G6 Q8N752 Q9NQU5 Q01826
Q9H2P0 Q9NYC9 P48729 O95747 Q53H47
Q96CM8 O95057 Q9BZL6 Q9P286 Q9NTG7
Q96P47 P50570 Q04759 Q5VST9 Q9Y6E7
Q99758 O00429 P10644 Q9UGN5 Q8N6T7
Q86UQ4 Q9Y295 Q9UQM7 Q86U86 Q15477
Q2M3G0 Q6IAN0 Q15058 Q15645 Q7Z7L1
Q9NP58 Q01094 Q12756 Q96RG2 Q15019
Q9NP78 Q15329 O60333 P12004 O00141
O60706 O75461 Q03164 Q13153 Q8NDV3
O14678 Q96AV8 Q15139 Q58A45 P28370
P45844 P19525 Q02156 O43252 Q9H0K1
P42684 Q9P2K8 Q15418 P09874 Q8IXJ6
Q4G176 A0AVK6 Q9H1H9 P40424 Q8N196
O60503 O60869 Q9NQT8 O15530 O60264
Q9BRQ8 P68104 Q96L93 P40425 Q9H4L7
O60218 O00418 Q96Q89 O43933 Q9NXA8
Q04828 Q13627 Q9ULI4 P51160 Q14683
Q7Z591 Q9UBX2 P52732 Q9NTI5 Q9UQE7
Q8NI60 O00148 Q02241 Q13608 P41225
O43306 Q9P225 Q05655 Q9H792 O43175
P17516 Q92630 P41743 Q96BD5 Q9Y2K2
Q5T2L2 Q16254 P14618 Q9BXM7 Q9NRC8
P31749 Q13838 Q8NCM2 P17858 O00570
P31751 Q9P2D7 O00139 Q96RR1 Q9UBP0
Q9Y243 Q8WXX0 Q12840 P09619 P17947
P53396 Q14204 O60282 P11309 Q9UIU6
P36896 Q9BQI3 Q2M1P5 Q9BVI0 P51532
Q08462 Q9UQ16 P04183 P48736 Q969G3
O60266 O00716 Q8NEZ4 Q15126 Q96EB6
Q9UPQ3 Q9NZN3 Q13976 Q99453 P42285
O94788 P32519 Q9P2E2 Q504Y2 P23497
Q9H161 Q14209 Q8N4N8 Q9WJR5 P38935
Q6IQ32 P13639 O15066 P63133 O95347
P49189 Q9NZN4 Q9BW19 Q16512 Q9NTJ3
Q9UM73 P28324 Q9BVG8 P53350 Q8IY18
Q99490 Q96L91 Q96RR4 Q12837 Q96SB8
O14727 Q15375 Q05513 Q9UQG0 P12931
P42330 P29322 Q96JN0 Q01851 Q08945
P00352 Q5T890 Q7Z4S6 P10266 Q15772
P49419 P18074 O43896 Q9BXR3 Q9NYA1
P61204 Q03468 P10721 Q07869 Q6ZRS2
P18085 P00533 Q9UMN6 P37231 P08240
P84085 Q04743 P05771 P63136 O43704
P15121 Q2NKX8 Q15349 P63135 Q9P2P6
P84077 P07992 P51812 P63132 P48431
Q13795 O00757 O95835 O75360 P35712
P56559 Q15723 P00338 Q9NYY3 Q05066
P62330 P78545 Q9UJU2 Q9H4B4 O00338
P40616 Q99607 P43405 P35998 Q8WU08
P10398 P21860 P07195 Q13523 Q9NRA0
Q9Y4B4 Q15303 Q9UPM6 Q9ULL5 Q15208
Q9Y689 Q76MJ5 O75449 P54821 Q9Y5M8
Q96BM9 P41161 Q9NRM7 P62333 Q9Y2H1
Q3SXY8 P41212 P53671 P43686 Q96SB4
Q68CP9 O75460 Q6ZMQ8 P62195 Q13043
Q9NVJ2 P11474 Q8IWU2 Q92620 O94804
Q9NVI7 P03372 P36776 P17980 Q15831
P36404 P14921 Q86WA8 Q92786 Q9Y6E0
P49703 P15036 Q38SD2 P62191 Q9NRP7
P00966 P43268 Q99683 Q13882 Q9C0K7
Q9NR48 Q8IXL6 Q96Q04 P31939 Q06330
O43681 P62508 Q5S007 Q15257 Q15046
Q8NBU5 Q14289 Q9H089 Q96QR8 Q9P289
Q96QE3 Q8IYD8 Q9Y2U8 O00391 Q9UEW8
O43488 P49327 Q9BXT6 O15315 P14868
P36405 P16591 Q12851 P51153 P07814
P40617 P02751 O60307 P57729 P13984
Q9H0F7 Q16875 Q9Y6R4 P20337 Q5JPH6
Q9Y2Q0 P07332 O95819 P61020 O75478
